Female,Male
3900,4620
4020,5040
4290,5100
4380,5100
4380,5220
4380,5400
4380,5400
4380,5400
4380,5400
4440,5400
4500,5700
4500,6000
4620,6000
4800,6000
4800,6000
4800,6000
4800,6000
4800,6000
4800,6000
4800,6000
4800,6000
4800,6000
4800,6000
4980,6000
5100,6300
5100,6600
5100,6600
5100,6600
5100,6840
5100,6900
5160,6900
5220,8100
5220,
5280,
5280,
5280,
5400,
5400,
5400,
5400,
5400,
5400,
5400,
5400,
5400,
5400,
5400,
5400,
5520,
5520,
5580,
5640,
5700,
5700,
5700,
5700,
5700,
6000,
6000,
6120,
6300,
6300,